,wallTime,epoch,exp,tag,value
265,1638572347,1019,2021.12.03-22.24,levenshtein_step,145.30417
266,1638572347,1019,2021.12.03-22.24,duration_ms_mse_step,18328.979
267,1638572347,1019,2021.12.03-22.24,note_count_mse_step,6.783496
268,1638572351,1019,2021.12.03-22.24,levenshtein_step,11.533597
269,1638572351,1019,2021.12.03-22.24,duration_ms_mse_step,17809.959
270,1638572351,1019,2021.12.03-22.24,note_count_mse_step,9.81768
271,1638572351,1019,2021.12.03-22.24,levenshtein_epoch,111.86153
272,1638572351,1019,2021.12.03-22.24,duration_ms_mse_epoch,18199.225
273,1638572351,1019,2021.12.03-22.24,note_count_mse_epoch,7.542042
274,1638572351,1019,2021.12.03-22.24,epoch,0.0
275,1638570753,0219,2021.12.03-22.24,hp_metric,-1.0
276,1638570763,0219,2021.12.03-22.24,levenshtein_step,145.30324
277,1638570763,0219,2021.12.03-22.24,duration_ms_mse_step,18312.76
278,1638570763,0219,2021.12.03-22.24,note_count_mse_step,6.783496
279,1638570770,0219,2021.12.03-22.24,levenshtein_step,11.547749
280,1638570770,0219,2021.12.03-22.24,duration_ms_mse_step,19786.361
281,1638570770,0219,2021.12.03-22.24,note_count_mse_step,13.863576
282,1638570770,0219,2021.12.03-22.24,levenshtein_epoch,111.864365
283,1638570770,0219,2021.12.03-22.24,duration_ms_mse_epoch,18681.16
284,1638570770,0219,2021.12.03-22.24,note_count_mse_epoch,8.553515
285,1638570770,0219,2021.12.03-22.24,epoch,0.0
286,1638572883,1339,2021.12.03-22.24,hp_metric,-1.0
287,1638572893,1339,2021.12.03-22.24,levenshtein_step,145.30417
288,1638572893,1339,2021.12.03-22.24,duration_ms_mse_step,18327.045
289,1638572893,1339,2021.12.03-22.24,note_count_mse_step,6.783496
290,1638572897,1339,2021.12.03-22.24,levenshtein_step,11.547749
291,1638572897,1339,2021.12.03-22.24,duration_ms_mse_step,17854.566
292,1638572897,1339,2021.12.03-22.24,note_count_mse_step,10.431761
293,1638572897,1339,2021.12.03-22.24,levenshtein_epoch,111.86507
294,1638572897,1339,2021.12.03-22.24,duration_ms_mse_epoch,18208.926
295,1638572897,1339,2021.12.03-22.24,note_count_mse_epoch,7.695562
296,1638572897,1339,2021.12.03-22.24,epoch,0.0
297,1638573520,1539,2021.12.03-22.24,hp_metric,-1.0
298,1638573604,1539,2021.12.03-22.24,levenshtein_step,144.7199
299,1638573604,1539,2021.12.03-22.24,duration_ms_mse_step,27111.006
300,1638573604,1539,2021.12.03-22.24,note_count_mse_step,26.62786
301,1638573609,1539,2021.12.03-22.24,levenshtein_step,11.528879
302,1638573609,1539,2021.12.03-22.24,duration_ms_mse_step,17788.963
303,1638573609,1539,2021.12.03-22.24,note_count_mse_step,9.724081
304,1638573609,1539,2021.12.03-22.24,levenshtein_epoch,111.42214
305,1638573609,1539,2021.12.03-22.24,duration_ms_mse_epoch,24780.494
306,1638573609,1539,2021.12.03-22.24,note_count_mse_epoch,22.401915
307,1638573609,1539,2021.12.03-22.24,epoch,0.0
308,1638571167,0439,2021.12.03-22.24,hp_metric,-1.0
309,1638571177,0439,2021.12.03-22.24,levenshtein_step,145.30324
310,1638571177,0439,2021.12.03-22.24,duration_ms_mse_step,18333.623
311,1638571177,0439,2021.12.03-22.24,note_count_mse_step,6.759192
312,1638571182,0439,2021.12.03-22.24,levenshtein_step,11.543032
313,1638571182,0439,2021.12.03-22.24,duration_ms_mse_step,17989.459
314,1638571182,0439,2021.12.03-22.24,note_count_mse_step,12.08699
315,1638571182,0439,2021.12.03-22.24,levenshtein_epoch,111.86318
316,1638571182,0439,2021.12.03-22.24,duration_ms_mse_epoch,18247.582
317,1638571182,0439,2021.12.03-22.24,note_count_mse_epoch,8.091142
318,1638571182,0439,2021.12.03-22.24,epoch,0.0
319,1638571801,0709,2021.12.03-22.24,hp_metric,-1.0
320,1638571811,0709,2021.12.03-22.24,levenshtein_step,145.30324
321,1638571811,0709,2021.12.03-22.24,duration_ms_mse_step,18337.883
322,1638571811,0709,2021.12.03-22.24,note_count_mse_step,6.7641196
323,1638571816,0709,2021.12.03-22.24,levenshtein_step,11.524162
324,1638571816,0709,2021.12.03-22.24,duration_ms_mse_step,19120.014
325,1638571816,0709,2021.12.03-22.24,note_count_mse_step,10.482558
326,1638571816,0709,2021.12.03-22.24,levenshtein_epoch,111.85847
327,1638571816,0709,2021.12.03-22.24,duration_ms_mse_epoch,18533.416
328,1638571816,0709,2021.12.03-22.24,note_count_mse_epoch,7.6937294
329,1638571816,0709,2021.12.03-22.24,epoch,0.0
330,1638572814,1299,2021.12.03-22.24,hp_metric,-1.0
331,1638572824,1299,2021.12.03-22.24,levenshtein_step,145.30417
332,1638572824,1299,2021.12.03-22.24,duration_ms_mse_step,18327.045
333,1638572824,1299,2021.12.03-22.24,note_count_mse_step,6.783496
334,1638572829,1299,2021.12.03-22.24,levenshtein_step,11.533597
335,1638572829,1299,2021.12.03-22.24,duration_ms_mse_step,17834.928
336,1638572829,1299,2021.12.03-22.24,note_count_mse_step,10.054277
337,1638572829,1299,2021.12.03-22.24,levenshtein_epoch,111.86153
338,1638572829,1299,2021.12.03-22.24,duration_ms_mse_epoch,18204.016
339,1638572829,1299,2021.12.03-22.24,note_count_mse_epoch,7.6011915
340,1638572829,1299,2021.12.03-22.24,epoch,0.0
341,1638570451,0069,2021.12.03-22.24,hp_metric,-1.0
342,1638570459,0069,2021.12.03-22.24,levenshtein_step,145.30417
343,1638570459,0069,2021.12.03-22.24,duration_ms_mse_step,18320.479
344,1638570459,0069,2021.12.03-22.24,note_count_mse_step,6.7976956
345,1638570464,0069,2021.12.03-22.24,levenshtein_step,11.571333
346,1638570464,0069,2021.12.03-22.24,duration_ms_mse_step,18028.406
347,1638570464,0069,2021.12.03-22.24,note_count_mse_step,20.577269
348,1638570464,0069,2021.12.03-22.24,levenshtein_epoch,111.87096
349,1638570464,0069,2021.12.03-22.24,duration_ms_mse_epoch,18247.46
350,1638570464,0069,2021.12.03-22.24,note_count_mse_epoch,10.242589
351,1638570464,0069,2021.12.03-22.24,epoch,0.0
352,1638572472,1099,2021.12.03-22.24,hp_metric,-1.0
353,1638572482,1099,2021.12.03-22.24,levenshtein_step,145.30417
354,1638572482,1099,2021.12.03-22.24,duration_ms_mse_step,18328.979
355,1638572482,1099,2021.12.03-22.24,note_count_mse_step,6.783496
356,1638572487,1099,2021.12.03-22.24,levenshtein_step,11.538314
357,1638572487,1099,2021.12.03-22.24,duration_ms_mse_step,17922.58
358,1638572487,1099,2021.12.03-22.24,note_count_mse_step,9.692216
359,1638572487,1099,2021.12.03-22.24,levenshtein_epoch,111.8627
360,1638572487,1099,2021.12.03-22.24,duration_ms_mse_epoch,18227.379
361,1638572487,1099,2021.12.03-22.24,note_count_mse_epoch,7.510676
362,1638572487,1099,2021.12.03-22.24,epoch,0.0
363,1638570418,0049,2021.12.03-22.24,hp_metric,-1.0
364,1638570427,0049,2021.12.03-22.24,levenshtein_step,145.3051
365,1638570427,0049,2021.12.03-22.24,duration_ms_mse_step,18307.365
366,1638570427,0049,2021.12.03-22.24,note_count_mse_step,6.78826
367,1638570431,0049,2021.12.03-22.24,levenshtein_step,8.335484
368,1638570431,0049,2021.12.03-22.24,duration_ms_mse_step,17812.17
369,1638570431,0049,2021.12.03-22.24,note_count_mse_step,14.966651
370,1638570431,0049,2021.12.03-22.24,levenshtein_epoch,111.0627
371,1638570431,0049,2021.12.03-22.24,duration_ms_mse_epoch,18183.566
372,1638570431,0049,2021.12.03-22.24,note_count_mse_epoch,8.832857
373,1638570431,0049,2021.12.03-22.24,epoch,0.0
374,1638570855,0269,2021.12.03-22.24,hp_metric,-1.0
375,1638570866,0269,2021.12.03-22.24,levenshtein_step,145.30324
376,1638570866,0269,2021.12.03-22.24,duration_ms_mse_step,18118.2
377,1638570866,0269,2021.12.03-22.24,note_count_mse_step,6.7542295
378,1638570873,0269,2021.12.03-22.24,levenshtein_step,11.557182
379,1638570873,0269,2021.12.03-22.24,duration_ms_mse_step,18697.86
380,1638570873,0269,2021.12.03-22.24,note_count_mse_step,17.711931
381,1638570873,0269,2021.12.03-22.24,levenshtein_epoch,111.86672
382,1638570873,0269,2021.12.03-22.24,duration_ms_mse_epoch,18263.113
383,1638570873,0269,2021.12.03-22.24,note_count_mse_epoch,9.493654
384,1638570873,0269,2021.12.03-22.24,epoch,0.0
385,1638573720,1569,2021.12.03-22.24,hp_metric,-1.0
386,1638573804,1569,2021.12.03-22.24,levenshtein_step,144.72458
387,1638573804,1569,2021.12.03-22.24,duration_ms_mse_step,19111.451
388,1638573804,1569,2021.12.03-22.24,note_count_mse_step,31.435535
389,1638573809,1569,2021.12.03-22.24,levenshtein_step,11.547749
390,1638573809,1569,2021.12.03-22.24,duration_ms_mse_step,17769.84
391,1638573809,1569,2021.12.03-22.24,note_count_mse_step,9.928319
392,1638573809,1569,2021.12.03-22.24,levenshtein_epoch,111.430374
393,1638573809,1569,2021.12.03-22.24,duration_ms_mse_epoch,18776.047
394,1638573809,1569,2021.12.03-22.24,note_count_mse_epoch,26.058731
395,1638573809,1569,2021.12.03-22.24,epoch,0.0
